material_id,bandgap,is_train
107620.cif,1.332,TRUE
1087295.cif,2.102,TRUE
1089537.cif,1.797,TRUE
1137976.cif,2.108,TRUE
1219682.cif,2.471,TRUE
1229231.cif,2.868,TRUE
1229232.cif,4.397,TRUE
1229235.cif,4.255,TRUE
1229238.cif,4.209,TRUE
1229241.cif,4.256,TRUE
1229245.cif,4.248,TRUE
1229248.cif,4.307,TRUE
1229253.cif,2.97,TRUE
1229279.cif,0.745,TRUE
1229283.cif,1.639,TRUE
1229285.cif,1.817,TRUE
1229311.cif,1.671,TRUE
1229315.cif,1.665,TRUE
1229316.cif,1.666,TRUE
1229318.cif,3.93,TRUE
1229328.cif,4.544,TRUE
1229332.cif,4.091,TRUE
1229375.cif,0.753,TRUE
1229387.cif,0.908,TRUE
1230244.cif,0.752,TRUE
1230247.cif,0.903,TRUE
1230268.cif,3.174,TRUE
1230272.cif,3.327,TRUE
1230309.cif,3.452,TRUE
1230319.cif,3.356,TRUE
1230414.cif,4.335,TRUE
1230418.cif,3.901,TRUE
1230422.cif,4.552,TRUE
1230435.cif,3.929,TRUE
1230439.cif,2.842,TRUE
1230441.cif,0.754,TRUE
1230512.cif,4.709,TRUE
124184.cif,4.39,TRUE
127890.cif,0.604,TRUE
155292.cif,4.099,TRUE
158533.cif,3.6,TRUE
158541.cif,4.08,TRUE
1799972.cif,3.79,TRUE
180040.cif,4.287,TRUE
180043.cif,3.734,TRUE
180045.cif,4.382,TRUE
180051.cif,3.917,TRUE
180052.cif,1.041,TRUE
180061.cif,0.891,TRUE
180074.cif,4.565,TRUE
180097.cif,4.244,TRUE
180098.cif,0.951,TRUE
180107.cif,1.21,TRUE
180108.cif,4.608,TRUE
180109.cif,4.038,TRUE
180135.cif,2.327,TRUE
180136.cif,2.08,TRUE
180137.cif,2.652,TRUE
180138.cif,2.656,TRUE
180174.cif,2.652,TRUE
180177.cif,2.143,TRUE
180178.cif,2.652,TRUE
180181.cif,1.308,TRUE
180182.cif,2.081,TRUE
180183.cif,2.606,TRUE
180187.cif,2.017,TRUE
180368.cif,2.051,TRUE
180381.cif,1.308,TRUE
180394.cif,2.276,TRUE
180430.cif,3.097,TRUE
180468.cif,3.262,TRUE
180482.cif,0.826,TRUE
180498.cif,3.367,TRUE
180606.cif,1.01,TRUE
180608.cif,0.891,TRUE
180626.cif,1.11,TRUE
180633.cif,1.021,TRUE
180643.cif,0.591,TRUE
180647.cif,1.195,TRUE
180709.cif,0.513,TRUE
180713.cif,3.344,TRUE
180717.cif,0.63,TRUE
180727.cif,0.598,TRUE
180731.cif,1.984,TRUE
180736.cif,1.88,TRUE
180775.cif,1.869,TRUE
180812.cif,0.795,TRUE
180818.cif,2.227,TRUE
180838.cif,2.234,TRUE
180845.cif,2.083,TRUE
180851.cif,2.236,TRUE
180858.cif,2.427,TRUE
180928.cif,3.338,TRUE
180934.cif,3.342,TRUE
180952.cif,3.326,TRUE
180962.cif,3.462,TRUE
180980.cif,3.8,TRUE
180997.cif,3.758,TRUE
181046.cif,3.071,TRUE
181316.cif,3.086,TRUE
181414.cif,2.903,TRUE
181420.cif,3.066,TRUE
181437.cif,3.061,TRUE
181450.cif,2.88,TRUE
181481.cif,2.281,TRUE
181536.cif,2.44,TRUE
181546.cif,1.48,TRUE
181565.cif,1.246,TRUE
181846.cif,3.286,TRUE
181957.cif,3.285,TRUE
182071.cif,3.289,TRUE
183002.cif,3.276,TRUE
183240.cif,3.673,TRUE
1872529.cif,3.562,TRUE
1890056.cif,3.535,TRUE
1890231.cif,2.212,TRUE
1890713.cif,2.253,TRUE
1890719.cif,2.635,TRUE
1891293.cif,3.158,TRUE
1891299.cif,3.197,TRUE
1891310.cif,3.266,TRUE
1891316.cif,3.274,TRUE
1891328.cif,3.072,TRUE
1891334.cif,4.233,TRUE
1891686.cif,3.951,TRUE
1891998.cif,4.223,TRUE
1892010.cif,4.197,TRUE
1892572.cif,3.69,TRUE
1893139.cif,3.53,TRUE
1895460.cif,0.635,TRUE
1901916.cif,3.503,TRUE
1902038.cif,3.486,TRUE
1902190.cif,2.227,TRUE
1902447.cif,2.297,TRUE
1905565.cif,2.178,TRUE
1905760.cif,0.644,TRUE
1909871.cif,3.229,TRUE
1910379.cif,3.215,TRUE
1910738.cif,3.073,TRUE
1910914.cif,3.838,TRUE
1922849.cif,3.759,TRUE
1923246.cif,3.769,TRUE
1926981.cif,3.609,TRUE
1926983.cif,3.848,TRUE
1926997.cif,3.844,TRUE
1927004.cif,1.671,TRUE
1927021.cif,1.673,TRUE
1927034.cif,3.353,TRUE
1927083.cif,1.632,TRUE
1927085.cif,2.175,TRUE
1927086.cif,2.168,TRUE
1927129.cif,3.236,TRUE
1927149.cif,3.077,TRUE
1927150.cif,3.843,TRUE
1927167.cif,3.785,TRUE
1927173.cif,3.752,TRUE
1927190.cif,3.777,TRUE
1927257.cif,3.583,TRUE
1927305.cif,3.57,TRUE
