material_id,formula,predicted_bandgap,period,electronegativity,covalent_radius,valence_electrons,ionization_energy,electron_affinity,atomic_volume,bond_length,bond_angle
107620,La4 V4 O12,1.117,3.2,2.678,90.0,5.0,2.126000000000001,1.1699999999999997,11.990220731888396,2.494244898361573,67.23249509343569
1087295,Na8 Li4 Al4 H24,3.142,1.7,1.6700000000000006,70.0,1.2,2.044000000000001,0.7199999999999996,9.309506241417365,2.320274128889999,71.47942441210482
1089537,Sr8 Mg4 W4 O24,2.981,3.1,2.639,97.5,4.8,2.126000000000001,0.9079999999999997,12.383036917452873,2.562163822706033,71.51771890322932
1137976,K4 Ca4 H12,3.537,2.2,1.5139999999999998,90.0,1.2,2.032000000000001,0.5720000000000001,16.99760879538313,2.817799607828196,68.259087274404
1219682,Na4 Li2 Al2 H12,3.137,1.7,1.6699999999999995,70.0,1.2,2.044000000000001,0.7200000000000002,9.289283159614861,2.2750540631516536,66.36029043838502
1229221,Rb8 Na4 Cr4 F24,2.227,2.9,2.756,102.5,5.1,2.1890000000000014,2.5080000000000013,14.18587179729945,2.640738927362933,71.81241934334176
1229231,Ba8 Zn4 W4 O24,3.161,3.4,2.678,95.0,5.8,2.1140000000000008,0.8879999999999997,13.473723223543365,2.6178096298014393,70.90948468484373
1229232,Ba8 Ni4 W4 O24,3.186,3.4,2.7169999999999996,92.5,5.6,2.0940000000000007,1.0969999999999995,13.175106474813067,2.6046937348605037,71.44864467953069
1229235,Cs8 Tl4 V4 F24,1.986,3.4,2.834,107.5,5.2,2.2050000000000014,2.5080000000000013,18.722692105606225,2.831901192886081,71.81663835306408
1229236,K4 Rb8 V4 F24,2.032,3.0,2.717,107.5,5.0,2.1750000000000016,2.5080000000000013,16.581675444064707,2.746291342141085,71.55830821375115
1229238,Sr8 Ni4 W4 O24,2.995,3.2,2.7169999999999996,92.5,5.6,2.126000000000001,1.0969999999999995,12.261064299166305,2.5549244083911637,72.3898607385154
1229241,Sr8 Ni4 Mo4 O24,2.171,3.1,2.756,95.0,5.6,2.126000000000001,1.0969999999999995,12.181607585624569,2.5505041527499115,72.7105269091988
1229245,Ba8 Sm4 Sb4 O24,4.15,3.5,2.639,102.5,4.7,2.0970000000000004,1.0411999999999995,15.55089638482375,2.7308051503155193,70.53266182738521
1229248,K4 Rb8 Ti4 F24,5.829,3.0,2.678,107.5,4.9,2.1750000000000016,2.434000000000001,17.051928507779994,2.77725951923647,72.45368478841142
1229253,Ba8 Mn4 W4 O24,1.693,3.4,2.678,95.0,5.3,2.0940000000000007,0.8979999999999997,13.88732321439764,2.6366411415265634,71.40038317492218
1229279,Cs8 Li4 Y4 Cl24,5.037,3.7,2.2489999999999997,140.0,4.8,2.016000000000001,2.434000000000001,29.091858506378834,3.4290716995275305,72.03390437963913
1229283,Cs8 Li4 Lu4 Cl24,5.437,3.8,2.2099999999999995,140.0,4.8,2.000000000000001,2.434000000000001,28.194671198225006,3.3906310988291453,71.58096709336198
1229285,Sr8 Cd4 W4 O24,3.099,3.3,2.678,95.0,5.8,2.146000000000001,0.8779999999999998,13.971278001464833,2.630616583830423,72.60937868463581
1229298,Sr8 Ga4 Sb4 O24,1.219,3.1,2.7169999999999996,97.5,4.8,2.1290000000000004,1.0969999999999995,12.322764284320062,2.5772147659823252,71.75884273980454
1229311,Ba8 Dy4 Bi4 O24,2.178,3.6,2.639,102.5,4.7,2.077000000000001,1.0219999999999998,15.974109677802844,2.7900415565365213,71.0106840213063
1229315,Sr8 Zr4 Mn4 O24,1.666,3.1,2.639,97.5,5.1,2.109000000000001,0.8979999999999997,12.456727990629052,2.552343382712003,70.35458081183437
1229316,Ba6 Ta3 Bi3 O18,2.756,3.6,2.6390000000000002,100.0,5.0,2.0940000000000007,0.9479999999999998,15.801875457544584,2.696835499326083,72.52735298100876
1229318,Sr8 Y4 Sb4 O24,3.849,3.2,2.678,102.5,4.8,2.1290000000000004,1.0229999999999997,14.472575803510313,2.6771845351320196,71.00315358571291
1229328,Sr8 Ta4 Cr4 O24,2.873,3.2,2.639,97.5,5.1,2.126000000000001,0.9479999999999997,12.391969306098092,2.583350641557465,71.49055279806359
1229332,Ba8 Ta4 Bi4 O24,2.771,3.6,2.639,100.0,5.0,2.0940000000000007,0.9479999999999997,15.972996924368477,2.7453250600538466,70.6666786714741
1229375,Ba4 Ta2 Bi2 O12,2.622,3.6,2.639,100.0,5.0,2.0940000000000007,0.9480000000000001,15.808540403950278,2.699182150871073,67.68782367516349
1229387,Ba8 Ho4 Ta4 O24,3.622,3.6,2.5999999999999996,102.5,4.7,2.077000000000001,0.9097999999999997,15.03464951782043,2.710205466278611,71.24259713903945
1230244,Ba8 Sm4 Nb4 O24,3.041,3.5,2.5999999999999996,102.5,4.7,2.077000000000001,0.9661999999999997,15.768190859902461,2.7438367977358817,72.20620610409269
1230247,Ba4 Ca2 W2 O12,3.071,3.4,2.5999999999999996,100.0,4.8,2.077000000000001,0.9480000000000001,14.810814290024101,2.6521354647416566,66.00787692846515
