material_id,bandgap
9236640.vasp,1.332
9239441.vasp,2.251
9236569.vasp,2.102
9236696.vasp,1.797
9236799.vasp,2.108
9236479.vasp,2.471
9236838.vasp,2.868
2004410.vasp,4.397
9235550.vasp,4.255
1948403.vasp,4.209
9241324.vasp,4.256
2518752.vasp,4.248
955443.vasp,4.307
2000818.vasp,2.97
2001209.vasp,0.745
2070154.vasp,1.639
2058358.vasp,1.817
1953065.vasp,1.671
2518905.vasp,1.665
964818.vasp,1.666
2067285.vasp,4.542
2518920.vasp,3.93
2005372.vasp,4.544
2518946.vasp,4.091
9240749.vasp,0.753
4762473.vasp,0.908
9235510.vasp,0.752
1950211.vasp,0.61
2519001.vasp,0.903
2013084.vasp,3.174
1950589.vasp,3.327
2518984.vasp,3.452
973203.vasp,3.356
2068193.vasp,4.335
2519027.vasp,3.901
2065675.vasp,4.552
2519066.vasp,3.929
2058329.vasp,2.695
2519084.vasp,2.842
2005711.vasp,0.754
2065915.vasp,4.709
2520285.vasp,4.39
2005637.vasp,0.604
2065563.vasp,4.099
1951935.vasp,3.6
2519245.vasp,4.08
995484.vasp,3.79
2071903.vasp,4.287
2519285.vasp,3.734
2067699.vasp,4.382
2519317.vasp,3.917
2067181.vasp,1.041
2520288.vasp,0.891
2005881.vasp,4.565
2519367.vasp,4.244
9405716.vasp,0.951
2065810.vasp,1.21
2067448.vasp,4.608
2519376.vasp,4.038
8331981.vasp,2.327
5269224.vasp,1.769
8879009.vasp,2.08
8432584.vasp,2.652
7908482.vasp,2.656
2005422.vasp,2.652
8226768.vasp,1.874
8213187.vasp,2.143
8876180.vasp,1.86
2599394.vasp,2.652
8433196.vasp,1.932
6396735.vasp,1.308
6439582.vasp,2.081
2010219.vasp,2.606
8226780.vasp,2.017
8258045.vasp,2.051
6438061.vasp,1.308
6444382.vasp,2.276
8278656.vasp,3.097
4046234.vasp,3.262
6407122.vasp,0.826
8700444.vasp,3.367
2012985.vasp,1.01
8215587.vasp,0.891
2613464.vasp,1.11
2003647.vasp,1.896
9032820.vasp,1.021
8532034.vasp,0.591
8284771.vasp,1.195
8536341.vasp,0.513
8206695.vasp,3.344
9238939.vasp,3.965
9140594.vasp,0.63
5465969.vasp,0.598
9661801.vasp,1.984
1891686.vasp,1.88
6409240.vasp,1.869
8204426.vasp,0.795
7838056.vasp,2.227
8997159.vasp,2.234
8276960.vasp,2.083
1909871.vasp,2.236
9128571.vasp,2.427
7733758.vasp,2.304
8535911.vasp,3.338
8302157.vasp,3.342
8276963.vasp,3.326
5465719.vasp,3.462
9236169.vasp,3.593
1928258.vasp,3.8
9235911.vasp,3.758
1230247.vasp,3.071
8537551.vasp,3.086
8220965.vasp,2.903
4739975.vasp,3.066
8276966.vasp,3.061
7827210.vasp,2.88
7979128.vasp,0.873
4750750.vasp,2.281
5465829.vasp,2.44
4739980.vasp,1.48
5465839.vasp,1.246
8231549.vasp,3.286
8535524.vasp,3.285
7834202.vasp,3.094
9140634.vasp,3.392
4739950.vasp,3.289
5465814.vasp,3.276
9136917.vasp,3.673
8243906.vasp,3.562
8271811.vasp,3.535
8241122.vasp,2.212
8725585.vasp,2.253
4795018.vasp,2.635
8707410.vasp,3.158
7830744.vasp,3.197
8434672.vasp,3.266
8218293.vasp,3.274
8216270.vasp,3.072
8241125.vasp,4.233
8434847.vasp,3.95
8276375.vasp,3.951
7839698.vasp,4.223
8217756.vasp,4.197
8257848.vasp,3.721
9660868.vasp,3.69
8995225.vasp,3.695
8228745.vasp,3.53
8310795.vasp,0.763
5465239.vasp,0.635
8287795.vasp,3.503
8285462.vasp,3.486
8204534.vasp,3.563
7764218.vasp,1.621
8726247.vasp,2.227
8217955.vasp,2.297
1229311.vasp,2.178
8307163.vasp,0.644
8280175.vasp,3.229
8534531.vasp,3.215
180812.vasp,3.073
180482.vasp,3.838
8304586.vasp,3.759
8535222.vasp,3.769
8204290.vasp,3.609
9239412.vasp,3.848
9236158.vasp,3.844
8287810.vasp,1.671
8204293.vasp,1.673
8287813.vasp,3.375
8204543.vasp,3.353
7762062.vasp,1.632
8280181.vasp,2.175
8217958.vasp,2.168
8217797.vasp,2.18
8280185.vasp,3.236
8534536.vasp,3.077
9661409.vasp,3.025
8280188.vasp,3.843
8993827.vasp,3.785
180178.vasp,3.752
8535225.vasp,3.777
7779226.vasp,3.583
7832330.vasp,3.57
9239424.vasp,4.044
8287831.vasp,1.692
8310300.vasp,1.676
8204299.vasp,1.799
8228076.vasp,0.775
8215697.vasp,2.154
7771304.vasp,2.261
8200198.vasp,2.154
8244934.vasp,2.324
8276969.vasp,2.16
7831146.vasp,2.088
8233737.vasp,2.718
9136060.vasp,3.655
8245548.vasp,3.639
8248483.vasp,3.664
7744004.vasp,3.691
8246290.vasp,3.666
7835982.vasp,3.698
9238914.vasp,3.702
9236363.vasp,3.702
9136004.vasp,3.048
7764124.vasp,2.927
8233755.vasp,3.001
8218347.vasp,2.993
8436530.vasp,2.952
8217775.vasp,2.811
5466299.vasp,0.501
8275807.vasp,3.579
8216314.vasp,3.581
8257462.vasp,2.289
8218962.vasp,2.156
4795033.vasp,2.418
8257465.vasp,3.179
8434675.vasp,3.187
8218296.vasp,3.31
180647.vasp,3.024
8257470.vasp,3.953
8993315.vasp,3.881
8218137.vasp,3.942
8280628.vasp,3.713
7752044.vasp,3.68
8535215.vasp,3.741
8204284.vasp,3.542
9238959.vasp,3.832
9236435.vasp,3.832
8275810.vasp,1.804
8204287.vasp,1.797
9238492.vasp,2.999
8285658.vasp,0.737
8287839.vasp,3.322
8285480.vasp,3.49
8204333.vasp,3.42
7734198.vasp,1.624
8280192.vasp,2.299
8217967.vasp,2.3
8216261.vasp,2.306
8306887.vasp,0.539
8280195.vasp,3.233
8219020.vasp,3.216
8534540.vasp,3.215
180717.vasp,3.055
8993798.vasp,3.773
180731.vasp,3.97
8304618.vasp,3.643
8231479.vasp,3.622
8535228.vasp,3.625
1229387.vasp,3.622
9238938.vasp,4.038
9236452.vasp,3.85
9136722.vasp,1.767
8287846.vasp,1.801
8310336.vasp,1.8
8204296.vasp,1.803
5464959.vasp,0.607
9714908.vasp,0.504
2000622.vasp,1
8208930.vasp,3.736
8204657.vasp,3.839
8271817.vasp,3.714
7757806.vasp,1.986
8204119.vasp,2.263
8205123.vasp,2.394
8208827.vasp,2.264
4795044.vasp,2.499
8306903.vasp,0.693
8215785.vasp,3.196
181414.vasp,3.197
8209100.vasp,3.187
8204693.vasp,3.322
8216273.vasp,3.177
8215768.vasp,4.229
1928035.vasp,4.227
8276387.vasp,4.223
9661490.vasp,4.368
4046278.vasp,4.344
8215788.vasp,3.727
1927966.vasp,3.873
180713.vasp,3.878
4046276.vasp,3.668
6454009.vasp,1.337
9136316.vasp,2.494
8204324.vasp,2.285
9951210.vasp,0.788
180727.vasp,1.909
5466114.vasp,1.149
8311835.vasp,3.229
8216477.vasp,3.093
8304114.vasp,2.029
8218993.vasp,2.05
8246827.vasp,1.928
8217970.vasp,2.029
8217306.vasp,2.082
8304121.vasp,3.099
8231453.vasp,3.112
180980.vasp,3.13
8217316.vasp,3.729
8536162.vasp,3.628
8204315.vasp,3.613
8311853.vasp,1.711
8204318.vasp,1.685
8214724.vasp,2.156
5465339.vasp,2.156
9175101.vasp,2.845
6855694.vasp,2.103
9661123.vasp,2.109
9238929.vasp,3.652
9236592.vasp,3.653
